SMILES,HOMO,LUMO,Gap
[H][C]([H])([H])[H],-0.3876997978260748,0.11709994129069963,0.5047997566402079
[H][N]([H])[H],-0.2569998672296827,0.08289995555655769,0.3398997965010902
[H][O][H],-0.2927998563442268,0.06869996388799984,0.36149981147050986
[H][C]#[C][H],-0.28449984702250036,0.05059997438425052,0.33509981264503413
[H][C]#[N],-0.360399795456301,0.019099988330856847,0.3795998009742591
[H][C]([H])=[O],-0.2669998423581829,-0.040599981732316846,0.2262998806760609
[H][C]([H])([H])[C]([H])([H])[H],-0.33849981435231563,0.1040999455861558,0.4425997687001882
[H][O][C]([H])([H])[H],-0.26529985902797565,0.07839996412021757,0.34369982314819325
[H][C]#[C][C]([H])([H])[H],-0.2608998475414407,0.06129996687228823,0.32219983193716245
[H][C]([H])([H])[C]#[N],-0.3263998484772201,0.03759997867970669,0.3639998096334933
[H][C](=[O])[C]([H])([H])[H],-0.25399987293878934,-0.019799990357390062,0.23419988258139926
[H][C](=[O])[N]([H])[H],-0.2542998565967885,0.030199986044853452,0.28449984702250036
[H][C]([H])([H])[C]([H])([H])[C]([H])([H])[H],-0.3229998467699386,0.09489995024356482,0.41789978825178664
[H][O][C]([H])([H])[C]([H])([H])[H],-0.2618998748441277,0.07979996379242563,0.3416998035896863
[H][C]([H])([H])[O][C]([H])([H])[H],-0.25249986703162586,0.09099995240837333,0.34349981067828245
[H][C]1([H])[C]([H])([H])[C]1([H])[H],-0.2887998522740799,0.10419994305939445,0.39299979533347434
[H][C]1([H])[O][C]1([H])[H],-0.2681998646073472,0.10419994305939445,0.3723998076667416
[H][C]([H])([H])[C](=[O])[C]([H])([H])[H],-0.2430998767425576,-0.008699995381429942,0.23439987752787655
[H][N]([H])[C](=[O])[C]([H])([H])[H],-0.24359987287046755,0.03469997967162274,0.27829984597080276
[H][N]([H])[C](=[O])[N]([H])[H],-0.2494998727407325,0.05559997071021736,0.3050998346892331
[H][C]([H])([H])[C]([H])([C]([H])([H])[H])[C]([H])([H])[H],-0.3166998570067191,0.08429995522876574,0.40099976842690105
[H][O][C]([H])([C]([H])([H])[H])[C]([H])([H])[H],-0.2611998662463069,0.07399996139539937,0.33509981264503413
[H][C]#[C][C]#[C][H],-0.25989987280905424,-0.021399989356933786,0.23859987654450074
[H][C]#[C][C]#[N],-0.3101998547735888,-0.054299968511247965,0.25589986873890735
[N]#[C][C]#[N],-0.3695998083223255,-0.09259995578877543,0.27699987005698357
[H][C]#[C][C]([H])=[O],-0.27769986113137085,-0.07349996526748939,0.20419988710216475
[H][C](=[O])[C]#[N],-0.31659983324833024,-0.10999994545642071,0.20659987903019278
[H][C](=[O])[C]([H])=[O],-0.26679984741170565,-0.11129993889367339,0.155499917279749
[H][C]([H])([H])[C]#[C][C]([H])([H])[H],-0.24119988094243955,0.06839996708742553,0.30959981736385644
[H][C]#[C][C]([H])([H])[C]([H])([H])[H],-0.2591998642112335,0.05659997172775408,0.31569982970403215
